key	en-US	vi-VN	uk-UA	tr-TR	th-TH	ro-RO	pt-BR	pl-PL	nl-NL	ko-KR	it-IT	fr-FR	es-ES	de-DE	cs-CZ	da-DK	el-GR	fi-FI	fil-PH	he-IL	hr-HR	hu-HU	id-ID	ja-JP	ms-MY	no-NO	notes	apple_or_web_verified
locale_voice	Consumer app neutral tone	Trung tính, thân thiện; ưu tiên cấu trúc không dùng đại từ xưng hô; pill 「Dành cho iPhone · Nhạc」= EN Music app; FAQ/tính năng: danh mục Nhạc trên App Store; Voice Memos → Ghi Âm	Нейтральний B2C; звертання «ви»; pill «Для iPhone · Музика» = EN Music app; FAQ: категорія «Музика» в App Store; Voice Memos → «Диктофон»	Samimi-örtük «siz»; B2C pazarlama tonu; pill «iPhone için · Müzik» = EN Music app; FAQ/özellikler: App Store'da «Müzik» kategorisi; Sesli Notlar = Voice Memos	โทน B2C เป็นกันเอง ใช้ «คุณ» สม่ำเสมอ; pill「สำหรับ iPhone · เพลง」= EN Music app; FAQ/ฟีเจอร์: หมวดเพลงใน App Store; โน้ตเสียง = Voice Memos	Ton B2C „tu” în UI/FAQ; pill «Pentru iPhone · Muzică» = EN Music app; FAQ/funcții: categoria „Muzică” în App Store; note vocale = Voice Memos	Tom B2C em «você»; pill «Feito para iPhone · Música» = EN Music app; FAQ/recursos: categoria «Música» na App Store; notas de voz = Voice Memos	Neutralny B2C, forma „Ty”; pigułka «Na iPhone'a · Muzyka» = EN Music app; FAQ/funkcje: kategoria «Muzyka» w App Store; notatki głosowe = Voice Memos	Informele B2C-toon, consistent «je/jouw»; pill «Voor iPhone · Muziek» = EN Music app; FAQ/features: categorie «Muziek» in de App Store; spraakmemo’s = Voice Memos	중립·친근 B2C; UI/FAQ 톤 일관; pill「아이폰용 · 음악」= EN Music app; FAQ/기능에서 App Store «음악» 카테고리; 음성 메모 = Voice Memos	Tono B2C informale, coerente in UI/FAQ; «tu» implicito; pill «Per iPhone · Musica» = EN Music app; FAQ/feature: categoria «Musica» in App Store	Ton B2C « vous », impératif/infinitif cohérents en UI/FAQ ; « mémos vocaux » = app Mémos vocaux (Voice Memos)	Tono B2C «tú», imperativo coherente en UI/FAQ (es-ES; «Notas de voz» = app Apple)	B2C-Ton, „du“ durchgängig in UI/FAQ (de-DE Marketing)	Neformální B2C, konzistentní tykání v UI/FAQ	Uformel B2C, konsekvent «du» i UI/FAQ	B2C φιλικός τόνος· συνεπής αναφορά στον χρήστη (σας / προστακτική σε CTAs)	B2C neutraali «sinä»; imperatiivi CTAssa (fi-FI; äänimuistio = Apple Voice Memos)	B2C neutral na tono; imperatibo sa CTA (fil-PH; «mga voice memo» = Voice Memos-style recordings)	B2C ניטרלי; פנייה ברבים בשיווק; «זיכרונות קוליים» = Voice Memos (Apple)	B2C „ti“ u UI-u; imperativ u CTA; „glasovne bilješke“ = Voice Memos (hr-HR)	B2C „te“ a UI-ban; hangjegyzetfelvételek = Voice Memos (Hangjegyzetek app, hu-HU)	B2C hormat „Anda“ di FAQ/marketing; memo suara = Voice Memos (Memo Suara, id-ID)	B2C「です・ます」で統一；pill「iPhone向け · ミュージック」= EN Music app；FAQ/機能で App Store「ミュージック」カテゴリ；ボイスメモ = Voice Memos	B2C hormat «Anda»; pill «Untuk iPhone · Muzik» = EN Music app; FAQ/ciri: kategori Muzik di App Store; memo suara = Voice Memos	Bokmål B2C «du»; pill «For iPhone · Musikk» = EN Music app; FAQ/funksjoner: Musikk-kategori i App Store; talemeldinger = Voice Memos	Consistent voice across UI and FAQ; ru-RU: pill «Для iPhone · Музыка» = EN Music app; FAQ: категория «Музыка» в App Store; Voice Memos → приложение «Диктофон»; sk-SK: tykanie v UI; pill «Pre iPhone · Hudba» = EN Music app; FAQ: kategória Hudba v App Store; Voice Memos → Hlasové poznámky; sv-SE: B2C «du»; pill «För iPhone · Musik» = EN Music app; FAQ: kategori Musik i App Store; Voice Memos → Röstmemo / röstanteckningar; zh-CN: pill「适用于 iPhone · 音乐」= EN Music app；FAQ：App Store「音乐」类别；Voice Memos →「语音备忘录」	N/A
settings	Settings	Cài đặt	Налаштування	Ayarlar	การตั้งค่า	Setări	Ajustes	Ustawienia	Instellingen	설정	Impostazioni	Réglages	Ajustes	Einstellungen	Nastavení	Indstillinger	Ρυθμίσεις	Asetukset	Mga Setting	הגדרות	Postavke	Beállítások	Pengaturan	設定	Tetapan	Innstillinger	System place in iOS	yes
photos_app	Photos app	ứng dụng Ảnh	додаток «Фото»	Fotoğraflar uygulaması	แอปรูปภาพ	Aplicația Poze	app Fotos	aplikacja Zdjęcia	Foto's-app	사진 앱	app Foto	app Photos	app Fotos	App „Fotos“	aplikace Fotky	Fotos	Φωτογραφίες	Kuvat	Mga Larawan	תמונות	Fotografije	Fotók	Foto	写真	Foto	Bilder	Apple Photos app name in copy	yes
app_store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	App Store	Do not translate	yes
music_category	Music category	danh mục Nhạc	категорія «Музика»	«Müzik» kategorisi	หมวดเพลงใน App Store	categoria „Muzică”	categoria «Música»	kategoria «Muzyka»	categorie «Muziek»	App Store «음악» 카테고리	categoria «Musica» in App Store	catégorie « Musique » sur l'App Store	categoría «Música» en la App Store	Kategorie „Musik“ im App Store	kategorie Hudba v App Store	Musik-kategori i App Store	κατηγορία «Μουσική» στο App Store	Musiikki-kategoria App Storessa	kategoryang Musika sa App Store	קטגוריית מוזיקה ב‑App Store	kategorija Glazba u App Storeu	Zene kategória az App Store-ban	kategori Musik di App Store	App Store「ミュージック」カテゴリ	kategori Muzik di App Store	Musikk-kategori i App Store	App Store category phrasing	yes
privacy_policy	Privacy Policy	Chính sách quyền riêng tư	Політика конфіденційності	Gizlilik politikası	นโยบายความเป็นส่วนตัว	Politica de confidențialitate	Política de privacidade	Polityka prywatności	Privacybeleid	개인정보 처리방침	Informativa sulla privacy	Politique de confidentialité	Política de privacidad	Datenschutz	Zásady ochrany osobních údajů	Privatlivspolitik	Πολιτική απορρήτου	Tietosuojakäytäntö	Patakaran sa Privacy	מדיניות פרטיות	Pravila privatnosti	Adatvédelmi irányelvek	Kebijakan Privasi	プライバシーポリシー	Dasar Privasi	Personvernerklæring	Footer link	yes
terms_of_use	Terms of Use	Điều khoản sử dụng	Умови використання	Kullanım koşulları	ข้อกำหนดการใช้งาน	Termeni de utilizare	Termos de uso	Warunki korzystania	Gebruiksvoorwaarden	이용 약관	Termini di utilizzo	Conditions d'utilisation	Términos de uso	Nutzungsbedingungen	Podmínky použití	Vilkår for brug	Όροι χρήσης	Käyttöehdot	Mga Tuntunin sa Paggamit	תנאי שימוש	Uvjeti korištenja	Felhasználási feltételek	Ketentuan Penggunaan	利用規約	Terma Penggunaan	Vilkår for bruk	Footer link	yes
download_cta	Download on the App Store	Tải trên App Store	Завантажити в App Store	App Store'dan indir	ดาวน์โหลดบน App Store	Descarcă din App Store	Baixar na App Store	Pobierz w App Store	Download in de App Store	App Store에서 다운로드	Scarica su App Store	Télécharger sur l'App Store	Descargar en la App Store	Im App Store laden	Stáhnout v App Store	Hent i App Store	Λήψη στο App Store	Lataa App Storesta	I-download sa App Store	הורדה ב‑App Store	Preuzmi u App Storeu	Letöltés az App Store-ból	Unduh di App Store	App Storeでダウンロード	Muat turun di App Store	Last ned i App Store	Main CTA	yes
boost_verb	boost	tăng cường	підсилення / підсилити	güçlendirmek	บูส / เพิ่มความดัง	amplificare / a amplifica	amplificar / boost (marca)	wzmacniać / boost (marka)	versterken / boost	증폭 / 부스트(마케팅)	potenziare / «boost» (marchio)	renforcer / « boost » (marque)	potenciar / «boost» (marca)	verstärken / „Boost“ (Marke)	zesílit / zesílení	booste / boost (marketing)	ενίσχυση / boost (μάρκετινγκ)	tehostaa / boost (markkinointi)	palakasin / boost (marketing)	הגברה / בוסט (שיווק)	pojačati / boost (marketing)	kiemelés / boost (marketing)	memperkuat / boost (marketing)	ブースト / 音量を上げる（マーケ）	perkuat / boost (pemasaran)	øke / boost (markedsføring)	Slider; NL onderscheid: niet „vergroten” (formaat) voor audio-luidheid	N/A
loudness_noun	loudness	độ to / mức âm lượng	гучність	ses yüksekliği / daha yüksek ses	ความดัง / ระดับเสียง	volum / nivel de volum	volume / nível de volume	głośność	volume	볼륨(음량)	volume / sonorité	volume / sonorité	volumen	Lautstärke	hlasitost	lydstyrke	ένταση ήχου	äänenvoimakkuus	lakas ng tunog / volume	עוצמת שמע	glasnoća	hangerő	volume / kerasnya suara	音量 / ラウドネス	kelantangan / bunyi lebih kuat	lydstyrke / volum	Audio level concept	N/A
clarity	clarity	độ rõ	чіткість	netlik	ความชัด	claritate	clareza	klarowność	helderheid	선명도	nitidezza / chiarezza	clarté	claridad	Klarheit	čistota / srozumitelnost	klarhed	καθαρότητα	selkeys	kalinawan	בהירות (צליל)	jasnoća	élesség (hang)	kejernihan	明瞭さ / クリアさ	kejernihan	klarhet	Marketing + audio clarity	N/A
bass	bass	bass	бас	bas	เบส	bas	graves	bas	bas	베이스(저음)	gravi	graves	graves	Bass	basy	bas	μπάσα / μπάσο	basso	bass	בס	bas	mély hang	bass	低音	bass	bass	NL loanword in audio marketing	N/A
on_device	on-device	trên thiết bị	на пристрої	cihazda	บนเครื่อง	pe dispozitiv	no dispositivo / no aparelho	na urządzeniu	op het apparaat	기기에서 처리	sul dispositivo	sur l'appareil	en el dispositivo	auf dem Gerät	na zařízení	på enheden	στη συσκευή	laitteella	sa device	במכשיר	na uređaju	az eszközön	di perangkat	端末内	pada peranti	på enheten	Local processing	N/A
save_share	save and share	lưu và chia sẻ	зберегти й поширити	kaydetmek ve paylaşmak	บันทึกและแชร์	a salva și a partaja	salvar e compartilhar	zapisać i udostępnić	opslaan en delen	저장·공유	salva e condividi	enregistrer et partager	guardar y compartir	speichern und teilen	uložit a sdílet	gem og del	αποθήκευση και κοινοποίηση	tallenna ja jaa	i-save at ibahagi	שמירה ושיתוף	spremi i podijeli	mentés és megosztás	simpan dan bagikan	保存して共有	simpan dan kongsi	lagre og del	Core flow phrase	N/A
before_after	Before / After	Trước / Sau	До / Після	Önce / Sonra	ก่อน / หลัง	Înainte / După	Antes / Depois	Przed / Po	Voor / Na	이전 / 이후	Prima / Dopo	Avant / Après	Antes / Después	Vorher / Nachher	Před / Po	Før / Efter	Πριν / Μετά	Ennen / Jälkeen	Bago / Pagkatapos	לפני / אחרי	Prije / Poslije	Előtte / Utána	Sebelum / Sesudah	前 / 後	Sebelum / Selepas	Før / Etter	Waveform labels	N/A
